,Heartrate,TotalSteps,sleepMin,Label
667,76.35696822,11080,380,Low
668,61.18803419,11080,380,Low
669,63.06970509,11080,380,Low
670,88.06609018,11080,380,LowA
671,73.17577197,11080,380,Low
672,68.91954023,11080,380,Low
673,72.59850374,11080,380,Low
674,78.90957447,11080,380,Low
675,84.05072464,11080,380,LowA
676,74.98214286,11080,380,Low
677,61.24719101,11080,380,Low
678,59.03313253,11080,380,Low
679,52.12852665,11080,380,Low
680,71.20771513,12409,458,Low
681,76.42296073,12409,458,Low
682,69.53501401,12409,458,Low
683,67.16964286,12409,458,Low
684,66.57894737,12409,458,Low
685,66.68465909,12409,458,Low
686,67.12391931,12409,458,Low
687,77.61139896,12409,458,Low
688,81.20892019,12409,458,LowA
689,92.04210526,12409,458,LowA
690,90.96739129999999,12409,458,LowA
691,96.4,12409,458,LowA
692,90.80410023,12409,458,LowA
693,97.06794055,12409,458,LowA
694,97.32505176,12409,458,LowA
695,95.75581395,12409,458,LowA
696,82.34739454,12409,458,LowA
697,92.70091324,12409,458,LowA
698,90.67772512,12409,458,LowA
699,89.63419913,12409,458,LowA
700,85.69971671,12409,458,LowA
701,86.24489796,12409,458,LowA
702,96.25233645,12409,458,LowA
703,83.92458101,12409,458,LowA
704,99.52941176,11761,455,LowA
705,92.33855799,11761,455,LowA
706,86.99145299,11761,455,LowA
707,79.47507331,11761,455,LowA
708,75.67796609999999,11761,455,Low
709,74.04705882,11761,455,Low
710,76.02102102,11761,455,Low
711,74.94610778,11761,455,Low
712,90.34864865,11761,455,LowA
713,112.8976744,11761,455,LowA
714,107.51329790000001,11761,455,LowA
715,97.52671756,11761,455,LowA
716,103.662037,11761,455,LowA
717,106.05378970000001,11761,455,LowA
718,109.2392777,11761,455,LowA
719,107.4076577,11761,455,LowA
720,108.6334842,11761,455,LowA
721,112.8632075,11761,455,LowA
722,104.8272506,11761,455,LowA
723,104.75835479999999,11761,455,LowA
724,103.1450382,11761,455,LowA
725,101.10606059999999,11761,455,LowA
726,93.44797688,11761,455,LowA
727,89.82994924,11761,455,LowA
728,70.28508772,12480,538,Low
729,67.14772727,12480,538,Low
730,69.9375,12480,538,Low
731,71.07954545,12480,538,Low
732,61.69281046,12480,538,Low
733,62.8125,12480,538,Low
734,62.86909091,12480,538,Low
735,65.26415094,12480,538,Low
736,67.18487395,12480,538,Low
737,83.73059361,12480,538,LowA
738,92.8089172,12480,538,LowA
739,94.03431373,12480,538,LowA
740,114.090824,12480,538,LowA
741,76.40857143,12480,538,Low
742,68.86647727,12480,538,Low
743,81.72790698,12480,538,LowA
